%OwnerId,Date,Subject,Case Owner,Case Owner Group,Employee Hire Date,Employee Status,Case_Date_Key
MNO112233445574002,10/14/2014,Additional Ram/memory (?) for my new computer,Sona J. Pack,IT Infrastructure,39331,Terminated,STU112233445576830|10/14/2014
STU112233445574004,10/14/2014,General IT Support: FTP server,Gerardo E. Ferroni,IT Infrastructure,39762,Active,PQR112233445576829|10/14/2014
MNO112233445574002,10/16/2014,Request for External HD,Sona J. Pack,IT Infrastructure,39331,Terminated,JKL112233445576827|10/16/2014
ABC112233445566789,10/16/2014,Calendar Request,Clifford H. Huxtable,Systems,6/1/2008,Terminated,GHI112233445576826|10/16/2014
GHI112233445574045,10/19/2014,General IT Support: FTP issue,Thomas R. Allman,IT Infrastructure,40098,Active,MNO112233445576828|10/19/2014
ABC112233445566789,10/20/2014,Account Locked out,Clifford H. Huxtable,Systems,6/1/2008,Terminated,STU112233445576812|10/20/2014
STU112233445574004,10/20/2014,"Can't Use Program",Gerardo E. Ferroni,IT Infrastructure,39762,Active,PQR112233445576811|10/20/2014
DEF112233445566790,10/22/2014,New Employee Setup Request,,,,,VWX112233445576813|10/22/2014
DEF112233445573936,10/24/2014,Data transfer issues,Wilfredo C. Hommer,Systems,39755,Active,DEF112233445576816|10/24/2014
ABC112233445566789,10/28/2014,VPN Connectivity Issues,Clifford H. Huxtable,Systems,6/1/2008,Terminated,ABC112233445576815|10/28/2014
MNO112233445574029,10/28/2014,cannot access system,Aracelis K. Ranum,Systems,40088,Active,YZA112233445576814|10/28/2014
DEF112233445573936,11/4/2014,cannot access system,Wilfredo C. Hommer,Systems,39755,Active,GHI112233445576817|11/4/2014
GHI112233445574045,11/5/2014,FTP Account request,Thomas R. Allman,IT Infrastructure,40098,Active,JKL112233445576818|11/5/2014
STU112233445574004,11/6/2014,Request For New Laptop,Gerardo E. Ferroni,IT Infrastructure,39762,Active,YZA112233445576823|11/6/2014
